Nama Produk;Takaran Saji;Sajian per Kemasan;Energi Total (kkal);Lemak Total (g);Lemak Jenuh (g);Protein (g);Karbohidrat Total (g);Gula (g);Garam (mg);Nutri-Level;
Air Mineral;600 mL;1;0;0;0;0;0;0;0;A;
Infused Water Lemon;330 mL;1;5;0;0;0;1;0;2;A;
Teh Hijau Tawar;250 mL;1;0;0;0;0;0;0;1;A;
Kopi Hitam Tanpa Gula;200 mL;1;5;0;0;1;1;0;4;A;
Air Kelapa Murni;250 mL;1;45;0;0;1;10;1;5;A;
Air Soda Tawar;330 mL;1;0;0;0;0;0;0;3;A;
Susu UHT Plain Skim;200 mL;1;70;0;0;7;10;0;5;A;
Yogurt Plain Bebas Lemak;100 g;1;50;0;0;5;7;1;5;A;
Susu Kedelai Tawar;200 mL;1;80;3;0.5;7;6;0;4;A;
Susu Almond Tawar;200 mL;1;35;3;0.2;1;1;0;5;A;
Keju Ricotta Bebas Lemak;30 g;1;40;1;0.6;4;3;1;5;A;
Susu Oat Tawar;200 mL;1;90;3;0.4;2;14;0;5;A;
Keripik Apel Sangrai;20 g;1;70;0;0;0;17;1;2;A;
Biji Bunga Matahari Panggang Tawar;30 g;1;170;14;0.7;6;6;0;1;A;
Kacang Almond Panggang Tawar;30 g;1;170;15;0.7;6;5;1;1;A;
Popcorn Tanpa Garam dan Mentega;25 g;1;90;1;0.2;3;17;0;1;A;
Kepingan Edamame Kering;30 g;1;130;4;0.5;13;10;1;4;A;
Keripik Pisang Rebus Sangrai;25 g;1;90;0;0;1;21;1;2;A;
Mi Konjac Polos;100 g;2;10;0;0;0;2;0;5;A;
Bihun Shirataki Basah;100 g;1;15;0;0;0;4;0;4;A;
Sup Sayur Bening Instan Low Sodium;150 g;1;30;0;0;2;5;1;5;A;
Bubur Oats Instan Polos;35 g;1;130;2;0.4;5;23;0;2;A;
Roti Gandum Utuh Bebas Lemak;35 g;1;80;1;0.2;4;14;1;5;A;
Roti Tawar Konjac;40 g;1;50;0;0;2;10;0;4;A;
Roti Pita Gandum Utuh;45 g;1;110;1;0.2;5;20;1;5;A;
Roti Bagel Wheat Polos;50 g;1;120;1;0.2;5;23;1;5;A;
Sereal Oatmeal Utuh;40 g;1;150;3;0.5;5;26;1;2;A;
Sereal Muesli Tanpa Buah Kering;45 g;1;170;3;0.5;6;30;1;3;A;
Sereal Bran Flakes Polos;30 g;1;100;1;0.2;4;22;1;5;A;
Sereal Quinoa Pop;30 g;1;110;2;0.3;4;19;0;2;A;
Teh Hijau Jasmine;250 mL;1;16;0.0;0.0;0;4;3;10;B;
Infused Water Berry;300 mL;1;8;0.0;0.0;0;2;2;8;B;
Air Kelapa Jeruk;250 mL;1;48;0.0;0.0;1;11;4;25;B;
Kopi Latte Low Fat;200 mL;1;50;1.5;0.8;3;6;4;40;B;
Teh Lemon Madu;250 mL;1;20;0.0;0.0;0;5;5;15;B;
Susu UHT Plain Low Fat;200 mL;1;82;2.0;1.1;7;9;4;75;B;
Yogurt Low Fat Stoberi;100 g;1;62;1.5;0.9;4;8;5;45;B;
Susu Almond Kurma;200 mL;1;58;2.5;0.4;2;7;4;50;B;
Susu Kedelai Madu;200 mL;1;78;2.5;0.5;6;8;3;60;B;
Susu Oat Vanilla Mild;200 mL;1;78;2.5;0.3;2;12;4;70;B;
Keripik Kentang Panggang Light;20 g;1;87;3.0;0.8;2;13;1;85;B;
Kacang Mete Panggang Mild Salt;25 g;1;151;11.0;1.1;5;8;1;65;B;
Popcorn Light Sea Salt;25 g;1;103;3.0;0.6;3;16;1;95;B;
Biskuit Gandum Mini;20 g;1;86;2.5;0.9;2;14;3;55;B;
Keripik Singkong Panggang;20 g;1;82;2.0;0.5;1;15;2;70;B;
Mi Instan Kuah Low Sodium;60 g;1;216;4.0;1.2;5;40;2;115;B;
Bihun Instan Ayam Jernih;50 g;1;174;2.0;0.8;3;36;1;110;B;
Bubur Instan Ayam Mild;45 g;1;158;1.5;0.5;4;32;1;105;B;
Sup Makaroni Instan;40 g;1;133;1.0;0.4;4;27;2;100;B;
Miso Soup Instan Tahu;30 g;1;69;1.0;0.3;3;12;1;118;B;
Roti Tawar Gandum Light;40 g;1;102;1.5;0.5;4;18;2;80;B;
Roti Coklat Mini Light;35 g;1;98;2.0;0.9;3;17;4;60;B;
Roti Kismis Wheat;40 g;1;110;1.5;0.4;4;20;5;70;B;
Roti Keju Mild;40 g;1;111;3.0;1.2;5;16;2;90;B;
Brioche Light Vanilla;35 g;1;98;2.5;1.0;3;16;4;50;B;
Sereal Madu Otat;30 g;1;114;1.5;0.4;3;22;4;40;B;
Sereal Corn Flakes Mild;30 g;1;108;0.5;0.2;2;24;3;85;B;
Sereal Granola Apel Kayumanis;35 g;1;140;4.0;0.8;4;22;5;30;B;
Sereal Multigrain Ring;30 g;1;110;1.5;0.3;3;21;4;50;B;
Sereal Rice Crispy Brown Rice;30 g;1;117;1.0;0.3;2;25;2;60;B;
Isotonik Rasa Jeruk;350 mL;1;80;0.0;0.0;0;20;7;150;C;
Minuman Elektrolit Lemon;250 mL;1;32;0.0;0.0;0;8;6;110;C;
Sirup Melon Mild;200 mL;1;36;0.0;0.0;0;9;9;15;C;
Kopi Latte Aren Less Sugar;240 mL;1;83;3.0;1.5;3;11;8;80;C;
Teh Peach Soda Light;330 mL;1;28;0.0;0.0;0;7;7;45;C;
Susu UHT Strawberry Delight;200 mL;1;112;3.5;2.0;6;14;9;90;C;
Yogurt Drink Mangga Light;150 mL;1;78;1.5;0.9;4;12;8;60;C;
Susu Evaporasi Light;100 mL;1;104;4.0;2.5;7;10;4;110;C;
Susu UHT Chocolate Medium;200 mL;1;111;3.0;1.8;6;15;10;100;C;
Dessert Yogurt Blueberry;120 g;1;94;2.5;1.4;5;13;9;75;C;
Keripik Rumput Laut Savory;20 g;1;97;5.0;2.2;2;11;1;180;C;
Wafer Roll Vanila Mild;25 g;1;112;4.0;1.8;2;17;8;65;C;
Krakers Keju Gurih;30 g;1;138;6.0;2.5;3;18;2;210;C;
Keripik Singkong Balado Mild;30 g;1;143;7.0;2.6;1;19;4;160;C;
Kacang Polong Goreng Tepung;30 g;1;138;6.0;2.4;5;16;2;190;C;
Mi Instan Goreng Otentik;80 g;1;362;14.0;2.7;7;52;4;450;C;
Pasta Instan Saus Keju;65 g;1;263;7.0;2.6;8;42;3;380;C;
Kwetiau Instan Kuah Sapi;70 g;1;261;5.0;2.1;6;48;3;420;C;
Ramen Instan Shoyu;75 g;1;282;6.0;2.3;8;49;2;480;C;
Sup Krim Ayam Instan;40 g;1;148;4.5;2.2;3;24;4;390;C;
Roti Sisir Margarin;50 g;1;156;4.5;2.1;5;24;7;130;C;
Roti Sobek Srikaya;45 g;1;135;3.0;1.3;4;23;9;110;C;
Roti Horn Krim Vanilla;45 g;1;149;5.0;2.5;4;22;8;95;C;
Donat Gula Halus;40 g;1;150;6.0;2.4;3;21;9;140;C;
Roti Kasur Mentega;50 g;1;165;5.0;2.3;5;25;6;150;C;
Sereal Chocolate Puffs;30 g;1;118;2.0;1.0;3;22;9;140;C;
Sereal Fruit Loops Crunchy;30 g;1;118;1.5;0.6;2;24;10;130;C;
Granola Coklat Pisang;40 g;1;174;6.0;2.2;5;25;8;85;C;
Sereal Bintang Karamel;30 g;1;116;1.8;0.8;2;23;9;150;C;
Oatmeal Instan Rasa Coklat;35 g;1;131;3.0;1.5;4;22;7;95;C;
Minuman Soda Rasa Kola;330 mL;1;140;0;0.0;0;35;33;15;D;
Teh Manis Kemasan Botol;350 mL;1;112;0;0.0;0;28;26;20;D;
Minuman Boba Milk Tea;250 mL;1;223;7;4.5;2;38;30;85;D;
Sirup Karamel Extra Sweet;200 mL;1;168;0;0.0;0;42;40;4;D;
Minuman Energi Taurin;250 mL;1;120;0;0.0;1;29;27;220;D;
Susu Kental Manis Cokelat;30 g;1;103;3;1.8;1;18;16;35;D;
Susu UHT Full Cream Ekstra Gurih;250 mL;1;161;9;5.2;8;12;8;110;D;
Es Krim Sundae Vanila Cokelat;80 g;1;180;8;4.8;3;24;18;75;D;
Yogurt Manis Rasa Rasberi;120 g;1;114;2;1.1;4;20;15;50;D;
Keju Slice Melted High Fat;30 g;1;100;8;5.0;5;2;1;380;D;
Keripik Kentang Balado Pedas;30 g;1;162;10;4.2;2;16;2;280;D;
Biskuit Sandwich Salut Cokelat;40 g;1;197;9;4.5;3;26;14;110;D;
Snack Ekstrudat Rasa Keju Extra Sodium;30 g;1;143;7;3.1;2;18;2;540;D;
Keripik Tortilla BBQ Ultra Salty;35 g;1;168;8;2.2;2;22;1;580;D;
Cokelat Batangan Milk Crunch;45 g;1;233;13;7.5;4;25;22;60;D;
Mi Instan Goreng Spesial Jumbo;90 g;1;422;18;8.0;9;56;7;980;D;
Mi Instan Kuah Pedas Ekstra Gurih;75 g;1;320;12;5.5;7;46;3;1250;D;
Bubur Instan Super Asin;50 g;1;183;3;1.1;4;35;2;650;D;
Pasta Instan Mac and Cheese Rich;70 g;1;307;11;5.2;8;44;4;720;D;
Sup Instan Daging Sapi Pekat;45 g;1;158;6;3.0;4;22;2;810;D;
Roti Manis Isian Cokelat Leleh;60 g;1;224;8;4.1;6;32;15;180;D;
Donat Glaze Karamel Manis;50 g;1;218;10;4.5;4;28;16;160;D;
Croissant Butter Rich;55 g;1;250;14;8.2;5;26;4;240;D;
Roti Selai Srikaya Manis;50 g;1;172;4;1.9;4;30;14;140;D;
Roti Sisir Mentega Gula Sandang;55 g;1;199;7;3.6;5;29;13;190;D;
